state,prob,load
c,0,654680.3652968036
c,7.134050294954619e-15,654680.3652968036
c,0,654680.3652968036
c,0,654680.3652968036
c,0,654680.3652968036
c,0,654680.3652968036
t,0.06125261637496202,523744.2922374429
t,0.0034410078344716535,523744.2922374429
t,0.00017290736219252286,523744.2922374429
t,7.650429650352293e-06,523744.2922374429
t,2.919881267847424e-07,523744.2922374429
t,9.346191959247463e-09,523744.2922374429
t,2.40870339299204e-10,523744.2922374429
t,4.685937401993634e-12,523744.2922374429
t,6.112471639951877e-14,523744.2922374429
t,3.469446951953614e-16,523744.2922374429
t,0.00016704396644551256,523744.2922374429
c,1.381540533449549e-05,523744.2922374429
c,7.962769134168494e-07,523744.2922374429
c,3.724035162319325e-08,523744.2922374429
c,1.4542391713577574e-09,523744.2922374429
c,4.698044991230388e-11,523744.2922374429
c,1.215047160108007e-12,523744.2922374429
c,2.3613489635865292e-14,523744.2922374429
c,2.5435382966509934e-16,523744.2922374429
c,1.734723475976807e-17,523744.2922374429
c,8.84606380906934e-05,523744.2922374429
c,4.6642333029200955e-06,523744.2922374429
c,1.0675998430437206e-07,523744.2922374429
c,2.0875909195749998e-09,523744.2922374429
c,3.399619474819815e-11,523744.2922374429
c,4.432287870059781e-13,523744.2922374429
c,4.211908599671688e-15,523744.2922374429
c,0,523744.2922374429
c,0,523744.2922374429
c,5.244752142320383e-06,523744.2922374429
c,1.2199620946784506e-07,523744.2922374429
c,1.6101787881543997e-09,523744.2922374429
c,1.7640359225440383e-11,523744.2922374429
c,1.5431406152899285e-13,523744.2922374429
c,9.965986369486757e-16,523744.2922374429
c,0,523744.2922374429
c,0,523744.2922374429
c,2.2504596520816697e-07,523744.2922374429
c,2.9961642680764733e-09,523744.2922374429
c,2.4779879537195626e-11,523744.2922374429
c,1.6307788452962768e-13,523744.2922374429
c,5.93275428784068e-16,523744.2922374429
c,0,523744.2922374429
c,5.898059818321144e-17,523744.2922374429
c,7.660819933280605e-09,523744.2922374429
c,6.366622940651157e-11,523744.2922374429
c,3.368572781825563e-13,523744.2922374429
c,1.5417354892743873e-15,523744.2922374429
c,0,523744.2922374429
c,0,523744.2922374429
c,2.048056516046337e-10,523744.2922374429
c,1.0857929139129752e-12,523744.2922374429
c,3.507610868425104e-15,523744.2922374429
c,0,523744.2922374429
c,7.806255641895632e-17,523744.2922374429
c,4.078076418223553e-12,523744.2922374429
c,1.3509159069169385e-14,523744.2922374429
c,0,523744.2922374429
c,0,523744.2922374429
c,5.393949176202284e-14,523744.2922374429
c,0,523744.2922374429
c,0,523744.2922374429
c,1.3877787807814457e-17,523744.2922374429
c,0,523744.2922374429
t,0.0724117767628279,436453.57686453575
t,0.004833209822084701,436453.57686453575
t,0.00028889658515699867,436453.57686453575
t,1.5223492645608308e-05,436453.57686453575
t,6.928210888046404e-07,436453.57686453575
