scale,throughput,load,collision,lost
0.0033,39834.705,793551.96,98.962534,0
0.0033,50400.548,793551.96,96.700912,0
0.0033,48064.149,793551.96,97.532156,0
0.0033,51336.85,793551.96,95.294293,0
0.0033,43226.756,793551.96,98.339608,0
0.0033,56419.781,793551.96,98.088877,0
0.0033,47591.246,793551.96,97.113191,0
0.0033,37423.374,793551.96,98.864287,0
0.0033,53085.938,793551.96,95.832719,0
0.0033,39716.555,793551.96,97.908773,0
0.0036,52534.582,727422.63,97.070884,0
0.0036,51278.159,727422.63,97.759159,0
0.0036,48940.895,727422.63,95.969433,0
0.0036,51712.144,727422.63,97.517422,0
0.0036,58676.025,727422.63,96.967946,0
0.0036,46775.417,727422.63,97.445474,0
0.0036,37214.287,727422.63,97.252826,0
0.0036,47911.796,727422.63,97.657377,0
0.0036,50734.326,727422.63,94.638354,0
0.0036,43453.726,727422.63,97.429321,0
0.0036,55200.943,727422.63,96.135498,0
0.0036,52491.067,727422.63,95.48479,0
0.0036,49721.898,727422.63,97.265568,0
0.0036,56857.202,727422.63,93.658254,0
0.0036,47258.242,727422.63,97.311692,0
0.0036,66936.795,727422.63,93.738075,0
0.0036,60656.845,727422.63,97.852112,0
0.0036,45857.887,727422.63,96.482381,0
0.0036,49015.383,727422.63,97.556718,0
0.0036,52366.573,727422.63,97.35392,0
0.0036,60125.541,727422.63,98.514866,0
0.0036,42079.095,727422.63,97.530149,0
0.0036,44080.571,727422.63,97.70925,0
0.0036,45805.477,727422.63,98.431052,0
0.0036,54546.976,727422.63,97.494875,0
0.0036,61743.661,727422.63,97.152858,0
0.0036,44718.278,727422.63,97.736636,0
0.0036,59589.762,727422.63,97.914177,0
0.0036,46055.202,727422.63,98.63676,0
0.0036,58995.101,727422.63,98.968419,0
0.0036,49553.623,727422.63,98.426678,0
0.0036,43055.017,727422.63,97.737981,0
0.0036,60136.473,727422.63,97.277902,0
0.0036,51679.773,727422.63,96.049281,0
0.0036,55376.519,727422.63,96.89831,0
0.0036,65132.909,727422.63,94.70929,0
0.0036,36523.319,727422.63,95.717643,0
0.0036,52257.908,727422.63,97.678859,0
0.0036,42012.784,727422.63,97.882104,0
0.0036,46517.573,727422.63,98.063414,0
0.0036,48083.77,727422.63,95.359138,0
0.0036,41987.073,727422.63,97.269295,0
0.0036,52488.424,727422.63,95.110755,0
0.0036,50525.984,727422.63,96.195386,0
0.0036,40444.346,727422.63,98.804414,0
0.0036,48177.698,727422.63,97.055289,0
0.0036,59969.536,727422.63,96.308486,0
0.0036,56287.601,727422.63,95.773484,0
0.0036,46293.386,727422.63,97.589178,0
0.0036,43622.416,727422.63,98.468295,0
0.0036,47274.345,727422.63,96.433482,0
0.0036,45678.366,727422.63,96.295257,0
0.0036,49825.665,727422.63,98.05616,0
0.0036,60695.013,727422.63,96.461792,0
0.0036,52866.159,727422.63,97.445868,0
0.0036,38358.701,727422.63,97.507954,0
0.0036,61742.069,727422.63,97.547382,0
0.0036,42201.728,727422.63,98.365973,0
0.0036,46351.671,727422.63,96.542205,0
0.0036,62567.952,727422.63,94.546024,0
0.0036,54347.276,727422.63,97.407725,0
0.0036,50891.282,727422.63,93.780129,0
0.0036,55090.068,727422.63,96.087648,0
0.0036,59723.867,727422.63,95.642365,0
0.0036,50655.467,727422.63,96.060387,0
0.0036,53481.168,727422.63,97.95495,0
0.0036,48039.165,727422.63,96.496737,0
0.0036,48530.215,727422.63,97.386364,0
0.0036,51766.573,727422.63,97.844239,0
0.0036,40060.394,727422.63,96.45756,0
0.0036,62269.38,727422.63,96.513409,0
0.0036,46423.907,727422.63,98.727953,0
0.0036,45083.181,727422.63,96.9647,0
0.0036,55033.958,727422.63,97.34105,0
0.0036,62008.759,727422.63,93.574507,0
0.0036,56321.015,727422.63,96.767908,0
0.0036,57404.051,727422.63,97.94331,0
0.0036,72690.905,727422.63,96.038322,0
0.0036,51685.397,727422.63,96.740657,0
0.0036,54730.218,727422.63,96.798985,0
0.0036,42933.85,727422.63,96.335855,0
0.0036,45271.58,727422.63,98.203767,0
0.0036,51715.725,727422.63,96.123944,0
0.0036,45073.455,727422.63,97.572966,0
0.0036,53908.302,727422.63,96.994129,0
0.0036,54418.027,727422.63,97.453621,0
0.0036,52308.114,727422.63,96.807656,0
0.0036,70138.106,727422.63,97.107064,0
0.0036,48836.195,727422.63,96.002682,0
0.0036,52538.054,727422.63,97.362422,0
0.0036,39691.433,727422.63,97.600916,0
0.0036,46605.079,727422.63,97.040147,0
0.0036,54407.291,727422.63,96.57369,0
0.0036,65321.014,727422.63,96.215242,0
0.0036,57121.76,727422.63,97.054505,0
0.0036,65083.12,727422.63,97.677522,0
0.0036,34191.19,727422.63,97.571286,0
0.0036,44543.589,727422.63,97.170743,0
0.0036,50272.128,727422.63,95.87682,0
0.0036,49366.579,727422.63,98.073214,0
0.0039,55914.878,671467.04,95.849479,0
0.0039,38249.28,671467.04,97.243189,0
0.0039,42514.093,671467.04,96.710553,0
0.0039,52772.441,671467.04,96.013335,0
0.0039,55149.757,671467.04,96.857482,0
0.0039,50897.236,671467.04,95.694117,0
0.0039,51269.905,671467.04,97.432579,0
0.0039,53929.433,671467.04,97.558818,0
0.0039,51605.063,671467.04,94.363957,0
0.0039,48481.573,671467.04,96.939659,0
0.0039,54380.561,671467.04,94.107889,0
0.0039,62810.973,671467.04,96.147687,0
0.0039,39042.645,671467.04,96.783479,0
0.0039,50224.37,671467.04,93.922453,0
0.0039,51298.169,671467.04,96.984465,0
0.0039,54950.602,671467.04,95.882136,0
0.0039,65345.019,671467.04,97.657925,0
0.0039,54413.407,671467.04,94.727816,0
0.0039,40770.247,671467.04,96.718989,0
0.0039,50574.837,671467.04,94.775719,0
0.0039,52104.002,671467.04,97.980107,0
0.0039,52376.684,671467.04,96.925079,0
0.0039,59827.579,671467.04,96.084935,0
0.0039,54166.586,671467.04,97.189074,0
0.0039,67257.915,671467.04,96.527137,0
0.0039,57126.711,671467.04,97.586289,0
0.0039,57799.462,671467.04,97.11468,0
0.0039,66270.911,671467.04,96.931118,0
0.0039,50273.673,671467.04,98.225083,0
0.0039,76967.778,671467.04,97.275152,0
0.0039,44677.783,671467.04,96.953419,0
0.0039,36949.81,671467.04,98.090766,0
0.0039,50262.317,671467.04,96.274893,0
0.0039,60029.299,671467.04,94.670655,0
0.0039,55149.435,671467.04,97.435686,0
0.0039,63178.35,671467.04,94.666511,0
0.0039,38279.258,671467.04,95.28065,0
0.0039,54723.164,671467.04,96.997658,0
0.0039,50138.919,671467.04,96.935991,0
0.0039,48053.048,671467.04,97.742057,0
0.0039,67146.251,671467.04,96.699163,0
0.0039,48643.31,671467.04,96.245136,0
0.0039,62177.015,671467.04,94.544514,0
0.0039,60829.244,671467.04,95.908122,0
0.0039,56620.04,671467.04,97.676555,0
0.0039,44411.503,671467.04,97.750912,0
0.0039,69588.576,671467.04,96.2674,0
0.0039,66185.107,671467.04,96.271296,0
0.0039,63456.606,671467.04,96.502558,0
0.0039,53034.338,671467.04,97.856049,0
0.0039,44735.572,671467.04,97.002235,0
0.0039,63173.607,671467.04,94.111907,0
0.0039,64911.286,671467.04,95.378718,0
0.0039,56746.504,671467.04,95.990943,0
0.0039,62629.793,671467.04,96.455993,0
0.0039,40299.14,671467.04,97.796998,0
0.0039,58749.479,671467.04,97.246266,0
0.0039,32358.948,671467.04,97.858899,0
0.0039,42770.488,671467.04,96.075231,0
0.0039,52164.615,671467.04,95.45688,0
0.0039,53597.48,671467.04,96.653782,0
0.0039,42034.434,671467.04,95.463975,0
0.0039,51323.8,671467.04,97.217379,0
0.0039,63118.89,671467.04,96.110336,0
0.0039,61195.312,671467.04,94.835958,0
0.0039,39708.688,671467.04,97.709186,0
0.0039,48198.007,671467.04,96.39209,0
0.0039,54243.594,671467.04,96.574043,0
0.0039,54516.118,671467.04,96.344847,0
0.0039,50006.037,671467.04,96.909183,0
0.0039,54717.866,671467.04,95.290831,0
0.0039,53228.778,671467.04,96.577283,0
0.0039,61681.181,671467.04,97.318532,0
0.0039,53673.535,671467.04,97.274044,0
0.0039,53732.668,671467.04,92.328289,0
0.0039,47035.382,671467.04,96.247634,0
0.0039,52660.402,671467.04,97.664387,0
0.0039,70084.802,671467.04,95.316785,0
0.0039,55435.464,671467.04,96.687718,0
0.0039,58565.815,671467.04,95.878107,0
0.0039,45807.029,671467.04,95.98299,0
0.0039,39503.529,671467.04,97.87363,0
0.0039,48135.738,671467.04,96.018419,0
0.0039,41032.341,671467.04,97.071984,0
0.0039,64946.131,671467.04,95.151207,0
0.0039,61414.1,671467.04,96.257682,0
0.0039,60306.944,671467.04,95.45231,0
0.0039,54569.446,671467.04,96.39495,0
0.0039,52312.501,671467.04,95.334457,0
0.0039,49154.313,671467.04,97.982729,0
0.0039,51779.733,671467.04,98.031043,0
0.0039,56803.846,671467.04,97.528928,0
0.0039,48695.638,671467.04,96.253012,0
0.0039,53090.135,671467.04,94.354324,0
0.0039,62815.473,671467.04,97.193699,0
0.0039,65199.069,671467.04,98.12484,0
0.0039,47343.361,671467.04,96.139306,0
