node,scale,throughput,load,collision,lost
8,0.003,41382.72,872907.15,100,0
9,0.003,69890.913,872907.15,100,0
0,0.003,55771.06,872907.15,89.655172,0
1,0.003,0,872907.15,93.103448,0
2,0.003,84660.253,872907.15,100,0
3,0.003,30019.442,872907.15,97.826087,0
4,0.003,43164.1,872907.15,95.833333,0
5,0.003,15689.68,872907.15,100,0
6,0.003,104988.48,872907.15,95.555556,0
7,0.003,56470.911,872907.15,100,0
8,0.003,45246.171,872907.15,96.923077,0
9,0.003,86366.478,872907.15,100,0
0,0.003,21732.054,872907.15,91.891892,0
1,0.003,41344.39,872907.15,97.5,0
2,0.003,29314.38,872907.15,100,0
3,0.003,11568.216,872907.15,98.305085,0
4,0.003,48069.377,872907.15,98.245614,0
5,0.003,0,872907.15,100,0
6,0.003,154241.91,872907.15,100,0
7,0.003,8259.6713,872907.15,94.871795,0
8,0.003,0,872907.15,100,0
9,0.003,162766.82,872907.15,100,0
0,0.003,25035.323,872907.15,92.105263,0
1,0.003,17235.764,872907.15,100,0
2,0.003,52433.339,872907.15,100,0
3,0.003,191236.52,872907.15,100,0
4,0.003,34442.388,872907.15,100,0
5,0.003,43118.062,872907.15,100,0
6,0.003,29208.147,872907.15,100,0
7,0.003,6391.1707,872907.15,100,0
8,0.003,18255.631,872907.15,100,0
9,0.003,10730.465,872907.15,98.529412,0
0,0.003,5394.9375,872907.15,100,0
1,0.003,-1747.6229,872907.15,92.5,0
2,0.003,31932.134,872907.15,100,0
3,0.003,65718.73,872907.15,100,0
4,0.003,0,872907.15,98.214286,0
5,0.003,75044.376,872907.15,100,0
6,0.003,89432.124,872907.15,98.113208,0
7,0.003,46406.756,872907.15,97.368421,0
8,0.003,89989.71,872907.15,100,0
9,0.003,79864.259,872907.15,100,0
0,0.003,126027.05,872907.15,100,0
1,0.003,20798.076,872907.15,93.333333,0
2,0.003,57164.604,872907.15,100,0
3,0.003,20299.197,872907.15,97.87234,0
4,0.003,51888.469,872907.15,97.826087,0
5,0.003,74501.495,872907.15,97.260274,0
6,0.003,61948.869,872907.15,97.87234,0
7,0.003,29594.395,872907.15,96.666667,0
8,0.003,3526.5555,872907.15,98.484848,0
9,0.003,77819.324,872907.15,98.333333,0
0,0.003,1300.3812,872907.15,97.222222,0
1,0.003,0,872907.15,96.875,0
2,0.003,13560.473,872907.15,98.529412,0
3,0.003,58149.056,872907.15,100,0
4,0.003,44907.873,872907.15,100,0
5,0.003,115069.29,872907.15,100,0
6,0.003,91109.247,872907.15,100,0
7,0.003,17387.438,872907.15,100,0
8,0.003,108633.43,872907.15,100,0
9,0.003,43397.642,872907.15,100,0
0,0.003,160231.22,872907.15,96.875,0
1,0.003,13834.232,872907.15,94.117647,0
2,0.003,24303.58,872907.15,100,0
3,0.003,10030.982,872907.15,98.113208,0
4,0.003,0,872907.15,100,0
5,0.003,30915.799,872907.15,98.876404,0
6,0.003,83278.047,872907.15,100,0
7,0.003,41412.085,872907.15,94.117647,0
8,0.003,81359.687,872907.15,98.666667,0
9,0.003,135097.44,872907.15,100,0
0,0.003,46729.265,872907.15,97.142857,0
1,0.003,45180.526,872907.15,92.307692,0
2,0.003,22158.187,872907.15,97.468354,0
3,0.003,20775.545,872907.15,98.214286,0
4,0.003,6260.7952,872907.15,98.275862,0
5,0.003,64955.451,872907.15,98.958333,0
6,0.003,69191.963,872907.15,100,0
7,0.003,42511.757,872907.15,97.297297,0
8,0.003,50962.484,872907.15,98.765432,0
9,0.003,94063.435,872907.15,97.402597,0
0,0.003,16018.532,872907.15,92.105263,0
1,0.003,0,872907.15,97.222222,0
2,0.003,100272.92,872907.15,98.611111,0
3,0.003,51392.345,872907.15,98.039216,0
4,0.003,0,872907.15,98.181818,0
5,0.003,16444.539,872907.15,100,0
6,0.003,47637.507,872907.15,98.214286,0
7,0.003,0,872907.15,94.736842,0
8,0.003,63314.641,872907.15,100,0
9,0.003,165810.98,872907.15,100,0
0,0.003,166317.56,872907.15,97.297297,0
1,0.003,0,872907.15,79.310345,0
2,0.003,84946.13,872907.15,100,0
3,0.003,43152.1,872907.15,89.795918,0
4,0.003,23581.198,872907.15,98,0
5,0.003,10732.012,872907.15,100,0
6,0.003,103755.3,872907.15,100,0
7,0.003,38003.45,872907.15,97.297297,0
8,0.003,21764.221,872907.15,100,0
9,0.003,109243.26,872907.15,98.4375,0
0,0.003,-8999.6717,872907.15,87.096774,0
1,0.003,705.032,872907.15,85.185185,0
2,0.003,1741.5527,872907.15,98.507463,0
3,0.003,119761.44,872907.15,100,0
4,0.003,0,872907.15,96.226415,0
5,0.003,75814.936,872907.15,100,0
6,0.003,61769.049,872907.15,96.363636,0
7,0.003,-4509.731,872907.15,90.909091,0
8,0.003,65595.188,872907.15,100,0
9,0.003,55106.291,872907.15,98.648649,0
0,0.003,72754.128,872907.15,93.548387,0
1,0.003,0,872907.15,96.774194,0
2,0.003,27041.661,872907.15,100,0
3,0.003,78713,872907.15,97.87234,0
4,0.003,26113.472,872907.15,100,0
5,0.003,0,872907.15,98.701299,0
6,0.003,46678.513,872907.15,97.959184,0
7,0.003,0,872907.15,92.105263,0
8,0.003,104977.63,872907.15,100,0
9,0.003,155158.64,872907.15,100,0
0,0.003,71731.09,872907.15,91.428571,0
1,0.003,0,872907.15,100,0
2,0.003,39610.804,872907.15,100,0
3,0.003,45407.472,872907.15,100,0
4,0.003,11150.406,872907.15,98.275862,0
5,0.003,54939.898,872907.15,100,0
6,0.003,45733.24,872907.15,96.491228,0
7,0.003,167106.07,872907.15,97.058824,0
8,0.003,57862.915,872907.15,96.875,0
9,0.003,37975.535,872907.15,98.684211,0
0,0.003,0,872907.15,90.625,0
1,0.003,8801.5706,872907.15,96.666667,0
2,0.003,117654.98,872907.15,100,0
3,0.003,117582.61,872907.15,97.727273,0
4,0.003,8809.8787,872907.15,98.148148,0
5,0.003,11120.515,872907.15,100,0
6,0.003,67672.476,872907.15,100,0
7,0.003,0,872907.15,100,0
8,0.003,31332.53,872907.15,100,0
9,0.003,75280.081,872907.15,100,0
0,0.003,74264.542,872907.15,100,0
1,0.003,50824.259,872907.15,94.117647,0
2,0.003,22688.762,872907.15,98.571429,0
3,0.003,41391.683,872907.15,98.275862,0
4,0.003,29997.2,872907.15,100,0
5,0.003,1622.33,872907.15,98.863636,0
6,0.003,42918.581,872907.15,100,0
7,0.003,98582.792,872907.15,94.285714,0
8,0.003,66961.671,872907.15,98.611111,0
9,0.003,161261.99,872907.15,100,0
0,0.003,24274.7,872907.15,91.176471,0
1,0.003,0,872907.15,94.285714,0
2,0.003,14275.38,872907.15,98.214286,0
3,0.003,71388.259,872907.15,96.296296,0
4,0.003,23987.182,872907.15,100,0
5,0.003,82188.433,872907.15,98.850575,0
6,0.003,31293.1,872907.15,97.727273,0
7,0.003,32205.466,872907.15,100,0
8,0.003,29258.629,872907.15,96.666667,0
9,0.003,86732.435,872907.15,100,0
0,0.003,61783.431,872907.15,86.486486,0
1,0.003,-4478.2225,872907.15,86.486486,0
2,0.003,11799.652,872907.15,98.837209,0
3,0.003,74851.831,872907.15,89.473684,0
4,0.003,14837.365,872907.15,100,0
5,0.003,32069.307,872907.15,99.107143,0
6,0.003,178293.19,872907.15,98.4375,0
7,0.003,22944.031,872907.15,97.674419,0
8,0.003,19268.28,872907.15,98.863636,0
9,0.003,58776.142,872907.15,97.701149,0
0,0.003,31186.282,872907.15,94.285714,0
1,0.003,71639.729,872907.15,96.774194,0
2,0.003,53196.807,872907.15,98.360656,0
3,0.003,27620.77,872907.15,93.877551,0
4,0.003,26271.754,872907.15,95.652174,0
5,0.003,40664.761,872907.15,100,0
6,0.003,48614.754,872907.15,98,0
7,0.003,44623.268,872907.15,96.666667,0
8,0.003,40542.167,872907.15,100,0
9,0.003,90889.193,872907.15,100,0
0,0.003,57951.961,872907.15,100,0
1,0.003,19335.102,872907.15,97.058824,0
2,0.003,20787.538,872907.15,100,0
3,0.003,68148.919,872907.15,98.214286,0
4,0.003,7905.8221,872907.15,100,0
5,0.003,15035.503,872907.15,100,0
6,0.003,140950.16,872907.15,100,0
7,0.003,9471.1447,872907.15,94.444444,0
8,0.003,43837.385,872907.15,100,0
9,0.003,59702.643,872907.15,98.648649,0
0,0.003,1399.5314,872907.15,97.297297,0
1,0.003,0,872907.15,100,0
2,0.003,139028.41,872907.15,98.4375,0
3,0.003,102943.86,872907.15,100,0
4,0.003,10039.504,872907.15,97.916667,0
5,0.003,13143.166,872907.15,100,0
6,0.003,74591.959,872907.15,98.076923,0
7,0.003,0,872907.15,90.909091,0
8,0.003,24326.491,872907.15,96.969697,0
9,0.003,94002.275,872907.15,100,0
0,0.003,85215.269,872907.15,92.5,0
1,0.003,10481.9,872907.15,90.697674,0
2,0.003,33626.499,872907.15,100,0
3,0.003,16535.504,872907.15,98.412698,0
4,0.003,7062.9717,872907.15,100,0
5,0.003,18272.93,872907.15,97.849462,0
6,0.003,87197.529,872907.15,96.363636,0
7,0.003,15092.06,872907.15,91.666667,0
8,0.003,171708.53,872907.15,100,0
9,0.003,77362.051,872907.15,100,0
0,0.003,72989.877,872907.15,100,0
1,0.003,0,872907.15,94.285714,0
2,0.003,67314.88,872907.15,98.550725,0
3,0.003,29253.426,872907.15,98.113208,0
4,0.003,0,872907.15,98.113208,0
5,0.003,0,872907.15,100,0
6,0.003,42884.881,872907.15,98.076923,0
7,0.003,5118.1346,872907.15,94.444444,0
8,0.003,143490.81,872907.15,100,0
9,0.003,124095.15,872907.15,98.571429,0
0,0.003,24972.86,872907.15,97.368421,0
1,0.003,12662.41,872907.15,100,0
2,0.003,16358.495,872907.15,98.630137,0
3,0.003,65962.257,872907.15,98.461538,0
4,0.003,8569.0986,872907.15,96.491228,0
5,0.003,44025.473,872907.15,100,0
6,0.003,88748.989,872907.15,96.428571,0
7,0.003,14959.302,872907.15,94.117647,0
8,0.003,29991.845,872907.15,98.701299,0
9,0.003,128990.16,872907.15,100,0
0,0.003,80359.206,872907.15,94.594595,0
1,0.003,14678.876,872907.15,93.75,0
2,0.003,59954.297,872907.15,100,0
3,0.003,87148.22,872907.15,95.744681,0
4,0.003,5802.6685,872907.15,98.039216,0
5,0.003,68909.304,872907.15,100,0
6,0.003,40052.478,872907.15,100,0
7,0.003,0,872907.15,100,0
8,0.003,62953.905,872907.15,100,0
9,0.003,37463.997,872907.15,100,0
0,0.003,57172.587,872907.15,92.857143,0
1,0.003,20506.54,872907.15,100,0
2,0.003,0,872907.15,98.275862,0
3,0.003,20587.347,872907.15,95,0
4,0.003,45141.569,872907.15,97.674419,0
5,0.003,6001.0005,872907.15,100,0
6,0.003,7691.33,872907.15,95.833333,0
7,0.003,41798.191,872907.15,93.548387,0
8,0.003,101877.07,872907.15,100,0
9,0.003,58555.484,872907.15,100,0
0,0.003,85715.376,872907.15,94.736842,0
1,0.003,30571.553,872907.15,96.969697,0
2,0.003,81481.171,872907.15,98.461538,0
3,0.003,49187.51,872907.15,93.478261,0
4,0.003,29727.577,872907.15,100,0
5,0.003,45771.059,872907.15,100,0
6,0.003,16682.304,872907.15,100,0
7,0.003,56053.632,872907.15,96.428571,0
8,0.003,48782.6,872907.15,98.611111,0
9,0.003,81104.357,872907.15,98.550725,0
0,0.003,39828.723,872907.15,90,0
1,0.003,52054.222,872907.15,89.189189,0
2,0.003,23887.286,872907.15,100,0
3,0.003,22870.855,872907.15,96.610169,0
4,0.003,24488.302,872907.15,98.275862,0
5,0.003,43347.777,872907.15,100,0
6,0.003,133117.03,872907.15,98.387097,0
7,0.003,-3245.4876,872907.15,93.023256,0
8,0.003,66229.915,872907.15,100,0
9,0.003,92278.787,872907.15,100,0
0,0.003,67057.105,872907.15,93.75,0
1,0.003,0,872907.15,87.5,0
2,0.003,38561.794,872907.15,100,0
3,0.003,17991.389,872907.15,98.148148,0
4,0.003,15274.312,872907.15,95.918367,0
5,0.003,69762.791,872907.15,100,0
6,0.003,72815.984,872907.15,98,0
7,0.003,81229.618,872907.15,100,0
8,0.003,97736.932,872907.15,100,0
9,0.003,31530.553,872907.15,100,0
0,0.003,59931.87,872907.15,97.058824,0
1,0.003,39335.271,872907.15,96.875,0
2,0.003,17528.279,872907.15,98.550725,0
3,0.003,34359.212,872907.15,96.296296,0
4,0.003,22763.352,872907.15,94,0
5,0.003,38264.347,872907.15,100,0
6,0.003,16798.28,872907.15,98.076923,0
7,0.003,54096.582,872907.15,91.666667,0
8,0.003,89051.029,872907.15,100,0
9,0.003,82515.905,872907.15,100,0
0,0.003,99979.897,872907.15,92.592593,0
1,0.003,0,872907.15,88.461538,0
2,0.003,53640.162,872907.15,97.916667,0
3,0.003,77424.654,872907.15,97.727273,0
4,0.003,80847.015,872907.15,100,0
5,0.003,63970.042,872907.15,100,0
6,0.003,10786.788,872907.15,100,0
7,0.003,91113.135,872907.15,95.454545,0
8,0.003,8003.4734,872907.15,100,0
9,0.003,38697.891,872907.15,98.412698,0
0,0.003,122537.69,872907.15,100,0
1,0.003,18031.055,872907.15,96.153846,0
2,0.003,62173.459,872907.15,100,0
3,0.003,17886.935,872907.15,95.744681,0
4,0.003,23587.398,872907.15,95.555556,0
5,0.003,0,872907.15,98.75,0
6,0.003,9887.9778,872907.15,95.918367,0
7,0.003,119620.66,872907.15,100,0
8,0.003,57355.343,872907.15,97.058824,0
9,0.003,165377.45,872907.15,100,0
0,0.003,23755.619,872907.15,97.297297,0
1,0.003,0,872907.15,86.111111,0
2,0.003,72554.166,872907.15,100,0
3,0.003,55937.537,872907.15,100,0
